sym,strat,score,entry,entry_date,sl,tg,qty,val,days,regime,tier,exit,exit_date,reason,costs,pnl
HEROMOTOCO,MOM,9.0,2227.09,2019-06-04,2101.58,2415.36,22,48996.07098671802,8,2,NIFTY50,2099.48,2019-06-14,SL,140.2,-2947.65
ULTRACEMCO,MOM,9.0,4611.9,2019-06-04,4381.42,4957.61,10,46118.967039295865,8,2,NIFTY50,4377.04,2019-06-14,SL,132.38,-2480.99
AXISBANK,MOM,12.0,796.58,2019-06-17,762.24,848.1,62,49387.9981748159,3,2,NIFTY50,761.48,2019-06-19,SL,142.23,-2318.57
COALINDIA,MOM,9.0,142.71,2019-06-04,135.82,153.05,350,49949.6477051188,12,2,NIFTY50,143.28,2019-06-20,TIME,147.2,52.71
BAJFINANCE,MOM,12.0,344.64,2019-06-17,329.43,367.44,145,49972.218280082874,12,2,NIFTY50,361.7,2019-07-02,TIME,150.44,2322.6
TITAN,MOM,13.0,1245.76,2019-06-20,1192.22,1326.09,40,49830.537059727285,12,2,NIFTY50,1246.79,2019-07-05,TIME,146.63,-105.58
ICICIBANK,MOM,13.0,419.35,2019-06-21,399.38,449.3,119,49902.44061959288,12,2,NIFTY50,410.51,2019-07-08,TIME,145.32,-1197.24
BAJAJFINSV,MOM,13.0,849.09,2019-07-03,821.81,889.99,58,49246.93378394409,4,2,NIFTY50,820.99,2019-07-08,SL,142.58,-1772.48
LT,MOM,14.0,1380.48,2019-07-08,1323.9,1465.36,36,49697.43134403006,1,2,NIFTY50,1322.58,2019-07-08,SL,143.27,-2227.81
HDFCLIFE,MOM,11.0,458.84,2019-07-09,432.52,498.33,108,49554.994811538,8,1,NIFTY50,497.83,2019-07-18,TARGET,151.64,4059.46
LT,MOM,11.0,1324.1,2019-07-09,1259.26,1421.38,37,48991.82416625231,9,1,NIFTY50,1258.0,2019-07-19,SL,140.69,-2586.36
SBIN,MOM,13.0,320.73,2019-07-09,306.71,341.75,155,49712.43584045155,12,1,NIFTY50,306.4,2019-07-24,SL,143.13,-2363.77
MCX,MOM,12.0,159.6,2019-07-19,148.87,175.71,313,49955.62640530546,7,1,MIDCAP,148.57,2019-07-29,SL,142.12,-3593.8
DRREDDY,MOM,11.0,510.44,2019-07-30,484.82,548.86,97,49512.42138455945,3,1,NIFTY50,484.34,2019-08-01,SL,142.1,-2674.27
POWERGRID,MOM,11.0,82.62,2019-08-02,78.87,88.26,605,49986.595716489544,2,0,NIFTY50,78.79,2019-08-05,SL,143.79,-2460.26
INFY,MOM,11.0,653.47,2019-07-22,628.23,691.33,76,49663.88094446245,12,1,NIFTY50,642.62,2019-08-06,TIME,144.94,-969.23
SBILIFE,MOM,12.0,761.38,2019-07-25,710.41,837.84,65,49489.91194274707,12,1,NIFTY50,791.25,2019-08-09,TIME,148.28,1793.1
INFY,MOM,11.0,647.61,2019-08-07,621.86,686.24,77,49866.01588728027,12,0,NIFTY50,665.94,2019-08-26,TIME,148.65,1262.82
NESTLEIND,MOM,11.0,563.77,2019-08-16,537.71,602.86,88,49611.80401967374,12,0,NIFTY50,590.13,2019-09-03,TIME,149.17,2170.3
APOLLOHOSP,MOM,11.0,1442.28,2019-08-19,1334.51,1603.93,34,49037.49856803306,12,0,NIFTY50,1465.14,2019-09-04,TIME,145.33,631.91
INFY,MOM,11.0,654.68,2019-08-28,628.41,694.08,76,49755.50708008921,6,0,NIFTY50,693.39,2019-09-05,TARGET,150.46,2791.19
MCX,MOM,11.0,162.26,2019-09-09,146.77,185.48,308,49974.96584183059,2,0,MIDCAP,185.11,2019-09-11,TARGET,156.82,6880.68
