sym,strat,score,entry,entry_date,sl,tg,qty,val,days,regime,tier,exit,exit_date,reason,costs,pnl
HEROMOTOCO,MOM,9.0,2227.09,2019-06-04,2101.58,2415.36,22,48996.07098671802,8,2,NIFTY50,2099.48,2019-06-14,SL,140.2,-2947.65
ULTRACEMCO,MOM,9.0,4611.9,2019-06-04,4381.42,4957.61,10,46118.967039295865,8,2,NIFTY50,4377.04,2019-06-14,SL,132.38,-2480.99
AXISBANK,MOM,12.0,796.58,2019-06-17,762.24,848.1,62,49387.9981748159,3,2,NIFTY50,761.48,2019-06-19,SL,142.23,-2318.57
COALINDIA,MOM,9.0,142.71,2019-06-04,135.82,153.05,350,49949.6477051188,12,2,NIFTY50,143.28,2019-06-20,TIME,147.2,52.71
BAJFINANCE,MOM,12.0,344.64,2019-06-17,329.43,367.44,145,49972.218280082874,12,2,NIFTY50,361.7,2019-07-02,TIME,150.44,2322.6
TITAN,MOM,13.0,1245.76,2019-06-20,1192.22,1326.09,40,49830.537059727285,12,2,NIFTY50,1246.79,2019-07-05,TIME,146.63,-105.58
ICICIBANK,MOM,13.0,419.35,2019-06-21,399.38,449.3,119,49902.44061959288,12,2,NIFTY50,410.51,2019-07-08,TIME,145.32,-1197.24
BAJAJFINSV,MOM,13.0,849.09,2019-07-03,821.81,889.99,58,49246.93378394409,4,2,NIFTY50,820.99,2019-07-08,SL,142.58,-1772.48
LT,MOM,14.0,1380.48,2019-07-08,1323.9,1465.36,36,49697.43134403006,1,2,NIFTY50,1322.58,2019-07-08,SL,143.27,-2227.81
HINDUNILVR,MOM,13.0,1785.32,2019-09-23,1703.71,1907.74,28,49989.022242860636,12,2,NIFTY50,1768.06,2019-10-10,TIME,146.37,-629.66
HDFCLIFE,MOM,13.0,556.05,2019-09-23,522.57,606.28,89,49488.747035981105,12,2,NIFTY50,574.42,2019-10-10,TIME,147.84,1487.46
MCX,MOM,12.0,175.09,2019-09-23,158.69,199.69,285,49899.679057619,12,2,MIDCAP,188.37,2019-10-10,TIME,152.06,3633.39
SBILIFE,MOM,12.0,822.8,2019-10-11,775.75,893.37,60,49367.774734939776,5,1,NIFTY50,892.48,2019-10-17,TARGET,151.05,4029.55
MCX,MOM,13.0,188.58,2019-10-18,171.48,214.24,265,49974.66661916158,3,2,MIDCAP,213.81,2019-10-23,TARGET,156.32,6530.03
DIXON,MOM,11.0,602.34,2019-10-11,543.56,690.52,83,49994.39171431029,12,1,MIDCAP,591.1,2019-10-30,TIME,145.75,-1079.04
ASIANPAINT,MOM,11.0,1698.65,2019-10-11,1614.92,1824.24,29,49260.77737651551,12,1,NIFTY50,1730.41,2019-10-30,TIME,146.18,774.8
TITAN,MOM,13.0,1298.06,2019-10-31,1224.92,1407.76,38,49326.225998079804,5,2,NIFTY50,1141.62,2019-11-06,SL_GAP,136.79,-6081.65
HDFCLIFE,MOM,14.0,601.31,2019-10-24,568.1,651.12,83,49908.44122283098,10,2,NIFTY50,567.53,2019-11-07,SL,142.89,-2946.47
HINDUNILVR,MOM,13.0,1931.19,2019-11-08,1860.14,2037.76,25,48279.662586866274,5,2,NIFTY50,1858.28,2019-11-15,SL,139.47,-1962.22
BHARTIARTL,MOM,13.0,350.88,2019-10-31,318.59,399.33,142,49825.6257347835,12,2,NIFTY50,398.93,2019-11-18,TARGET,156.07,6667.13
DIXON,MOM,13.0,671.0,2019-11-19,612.77,758.36,74,49654.31752299932,2,2,MIDCAP,611.54,2019-11-20,SL,139.91,-4539.62
