sym,strat,entry,entry_date,exit,exit_date,qty,reason,days,regime,costs,pnl
NESTLEIND,MOM,529.03,2019-06-06,530.19,2019-06-21,94,TIME_DEAD,12,2,146.43,-37.21
HDFCBANK,MOM,567.23,2019-06-06,560.56,2019-06-21,88,TIME_DEAD,12,2,146.01,-733.26
TCS,MOM,1803.57,2019-06-07,1777.7,2019-07-05,27,SL,21,2,142.26,-840.64
BAJAJFINSV,MOM,848.36,2019-07-03,820.29,2019-07-08,58,SL,4,2,142.46,-1770.58
ADANIENT,MOM,141.56,2019-07-08,127.38,2019-07-22,353,SL,11,2,140.0,-5144.66
POWERGRID,MOM,77.6,2019-06-24,82.19,2019-07-24,322,TARGET_HALF,23,2,75.56,1401.69
POWERGRID,MOM,77.6,2019-06-24,77.52,2019-08-05,322,SL,31,2,73.46,-98.45
HDFCLIFE,MOM,554.08,2019-09-23,603.53,2019-10-16,45,TARGET_HALF,16,2,76.45,2148.61
MCX,MOM,175.09,2019-09-23,199.95,2019-10-16,142,TARGET_HALF,16,2,78.06,3451.82
HINDUNILVR,MOM,1767.35,2019-09-23,1886.64,2019-10-22,14,TARGET_HALF,19,2,75.11,1594.97
HDFCLIFE,MOM,554.08,2019-09-23,563.42,2019-11-08,45,SL,31,2,73.93,346.42
HINDUNILVR,MOM,1767.35,2019-09-23,1844.82,2019-11-14,14,SL,34,2,74.3,1010.35
DIXON,MOM,656.07,2019-11-15,650.96,2019-12-02,76,TIME_DEAD,12,2,146.12,-534.47
ICICIBANK,MOM,472.46,2019-11-11,508.62,2019-12-04,52,TARGET_HALF,17,2,74.88,1805.49
BHARTIARTL,MOM,442.84,2019-12-03,404.33,2019-12-16,112,SL,10,2,139.86,-4453.51
DIXON,MOM,713.27,2019-12-17,787.81,2019-12-27,35,TARGET_HALF,8,2,77.07,2531.87
ICICIBANK,MOM,472.46,2019-11-11,504.29,2020-01-07,53,SL,40,2,76.01,1611.09
HDFCLIFE,MOM,611.06,2020-01-08,603.95,2020-01-23,81,TIME_DEAD,12,2,144.79,-720.33
MCX,MOM,175.09,2019-09-23,232.92,2020-01-30,143,SL,88,2,85.19,8184.95
BAJAJFINSV,MOM,949.39,2020-01-24,891.34,2020-02-03,52,SL_GAP,7,2,141.0,-3159.85
DIXON,MOM,713.27,2019-12-17,835.23,2020-02-24,35,SL,48,2,79.39,4189.07
ADANIENT,MOM,234.3,2020-02-07,231.89,2020-02-27,213,SL,14,2,146.08,-658.37
NESTLEIND,MOM,764.28,2020-02-07,735.33,2020-02-28,65,SL,15,2,143.5,-2025.03
NESTLEIND,MOM,814.82,2020-05-04,753.9,2020-05-19,61,TIME_DEAD,12,1,141.02,-3857.11
DIXON,MOM,909.84,2020-05-27,1040.94,2020-06-02,27,TARGET_HALF,5,1,77.2,3462.61
RELIANCE,MOM,641.86,2020-05-04,742.12,2020-06-18,38,TARGET_HALF,33,1,77.06,3732.71
DRREDDY,MOM,742.14,2020-05-04,738.77,2020-07-07,67,SL,46,1,145.94,-371.42
HCLTECH,MOM,470.7,2020-07-08,508.6,2020-07-16,53,TARGET_HALF,7,1,76.18,1932.57
DIXON,MOM,909.84,2020-05-27,1713.11,2020-09-21,27,SL,84,1,102.53,21585.88
RELIANCE,MOM,641.86,2020-05-04,972.06,2020-10-20,39,SL,120,1,91.6,12786.15
DRREDDY,MOM,1003.01,2020-10-05,981.86,2020-10-20,49,TIME_DEAD,12,1,143.12,-1179.27
HCLTECH,MOM,470.7,2020-07-08,647.47,2020-11-04,53,SL,85,1,86.45,9282.19
ADANIENT,MOM,321.4,2020-10-21,364.21,2020-11-12,77,TARGET_HALF,17,1,77.39,3218.63
DIXON,MOM,1933.65,2020-11-05,2154.64,2020-11-23,12,TARGET_HALF,12,1,71.96,2579.94
ASIANPAINT,MOM,2020.18,2020-10-21,2156.68,2020-12-01,12,TARGET_HALF,28,1,73.59,1564.36
ASIANPAINT,MOM,2020.18,2020-10-21,2517.0,2021-01-14,12,SL,59,1,79.63,5882.21
